Feature Set,Feature Count,Train Accuracy,Test Accuracy,CV Score,CV Std
rf,88,1.0,0.8415841584158416,0.8749702970297031,0.03586501066910574
rf+rhythm,88,1.0,0.8415841584158416,0.8749702970297031,0.03586501066910574
rf+spectral,88,1.0,0.8415841584158416,0.8749702970297031,0.03586501066910574
rf+tonal,88,1.0,0.8415841584158416,0.8749702970297031,0.03586501066910574
rf+rhythm+spectral,88,1.0,0.8415841584158416,0.8749702970297031,0.03586501066910574
rf+rhythm+spectral+tonal,88,1.0,0.8415841584158416,0.8749702970297031,0.03586501066910574
